Filename,Title,Cart Type,Mapper Type,ROM Banks,RAM Banks,RAM Size,ROM Size,Battery,Timer,Rumble,Sensor,Licensee,Old Licensee Code,CGB Functionality,SGB Functionality,Mask ROM Ver,Region,MD5 Hash,Weird/Bad/Missing Data
Side Pocket (World).gb,SIDE POCKET,MBC1,MBC1,4,0,0x0,0x10000,False,False,False,False,Data East,True,None,False,0,Non-Japan (0x1),3dbe9be772ca50da3a76d8860c7b08e2,False
Ultra Golf (USA).gb,ULTRA GOLF,MBC2+Battery,MBC2,8,1,0x100,0x20000,True,False,False,False,Ultra,True,None,False,0,Non-Japan (0x1),0a1cbc05d75c2bd3e01aad3acb4e4019,False
Toobin' (USA).gbc,TOOBINAOIE,MBC5,MBC5,64,0,0x0,0x100000,False,False,False,False,"UNKNOWN(b'5D',5D)",False,CGB Only,False,0,Non-Japan (0x1),d9575286a0da1da5f6036f649024298c,True
"Darkman (USA, Europe).gb",DARKMAN,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Ocean,True,None,False,0,Non-Japan (0x1),849c5fe4002dd4240020e9ec84c8dc29,False
Castlevania - The Adventure (Europe).gb,CASTLEVANIA ADVE,MBC1,MBC1,4,0,0x0,0x10000,False,False,False,False,Konami,True,None,False,0,Non-Japan (0x1),7c0cbb81025deed9e32ecdca5f1bb482,False
Hello Kitty no Happy House (Japan).gbc,HKITTY_HHBK7J,MBC5+RAM+Battery,MBC5,256,4,0x4000,0x400000,True,False,False,False,"UNKNOWN(b'BL',BL)",False,CGB Only,False,0,Japan,0121aa4c2909ff7dff2190b7889956fd,True
InfoGenius Systems - Personal Organizer with Phone Book (Europe).gb,PERSONAL ORGANIZ,MBC1+RAM+Battery,MBC1,4,1,0x800,0x10000,True,False,False,False,Gametek,True,None,False,0,Non-Japan (0x1),872e582831a17faee1df663c39a73e99,False
Hyper Dunk (Europe).gb,HYPER DUNK,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Konami,True,None,False,0,Non-Japan (0x1),9add23b6cf3a5b76305192da693dfd21,False
Motocross Maniacs (Japan).gb,MOTOCROSSMANIACS,ROM ONLY,ROM ONLY,2,0,0x0,0x8000,False,False,False,False,Konami,True,None,False,0,Japan,57d60f97e42d24835b6723d9b7a3c0db,False
Turbo RC Racing (USA) (Proto).gbc,TB,MBC1+RAM,MBC1,16,4,0x4000,0x40000,False,False,False,False,None,True,Extra CGB Functions,False,1,Japan,d80951a01c8e329fd3ccc99f95808857,False
Pocket GT (Japan).gbc,POCKET GTA7GJ,MBC5+RAM+Battery,MBC5,64,1,0x800,0x100000,True,False,False,False,"UNKNOWN(b'BL',BL)",False,CGB Only,False,0,Japan,0ee28078d6270df663647e8a3e3feaf6,True
Hamster Club - Awasete Chuu (Japan).gbc,AWASETE CYUBJHJ,MBC5,MBC5,64,0,0x0,0x100000,False,False,False,False,"UNKNOWN(b'2M',2M)",False,CGB Only,False,0,Japan,7d78cacd5eee9569ebc1b85ff9f05c90,True
"Speedball 2 - Brutal Deluxe (USA, Europe).gb",SPEED BALL 2,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Mindscape,True,None,False,0,Non-Japan (0x1),d7fb01dec29a52de74e5b335b8619e0a,False
Pokemon Card GB (Japan) (SGB Enhanced).gbc,POKEMON CARD GB,HuC1+RAM+Battery,HuC1,64,4,0x4000,0x100000,True,False,False,False,Nintendo R&D1,False,Extra CGB Functions,True,0,Japan,1633bec4cabec857c0ec67c99d2f982b,False
Soreyuke!! Kid (Japan).gb,GO! GO! KID,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Kemco Japan,False,None,False,0,Japan,c07063729944ffc4459e006e862df061,False
Konami Winter Games (Europe).gbc,WINTERGAMESA3HP,MBC5+RAM+Battery,MBC5,64,1,0x800,0x100000,True,False,False,False,Konami,False,CGB Only,False,0,Non-Japan (0x1),538f4d9036a7841cb157b9023346c540,False
Nikkan Berutomo Club (Japan) (SGB Enhanced).gb,BERUTOMOKURABU,MBC3+RAM+Timer+Battery,MBC3,32,1,0x800,0x80000,True,True,False,False,"UNKNOWN(b'8F',8F)",False,None,True,0,Japan,d4bf4c5ebec2a496bb6ec062058158c6,True
"Casino FunPak (USA, Europe).gb",CASINO FUNPAK,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Interplay,True,None,False,0,Non-Japan (0x1),7a60b2dca975ecd7166fd390cb9e3238,False
"Addams Family, The (Japan).gb",ADDAMS FAMILY,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Misawa Entertainment,True,None,False,0,Japan,dc2f4d927edda442de2148af590bebb5,False
